Sr.No;Basic Salary;House Rent Allowance;Other Allowances;Income Tax;Provident Fund;Professional Tax
1;35952;8582;3322;10785;2912;195
2;56316;5193;3306;16894;4301;159
3;67968;8838;3458;20390;1193;383
4;44582;7314;2607;13374;4877;265
5;55894;8869;3428;16768;2723;357
6;55905;7789;3117;16771;2043;261
7;44808;6622;3233;13442;3640;413
8;42178;9344;2230;12653;4869;276
9;43865;5112;3028;13159;1239;248
10;63621;6491;2248;19086;1037;266
11;41424;9962;3966;12427;2225;268
12;54232;6677;3871;16269;2221;450
13;;6731;3461;20200;3470;299
14;38749;5036;3551;11624;2399;475
15;45432;6339;3266;13629;4663;166
16;36316;9896;2733;10894;2276;300
17;54240;6332;3908;16272;2121;337
18;44535;9485;3732;13360;1712;367
19;45855;7226;3574;13756;2921;293
20;68078;5626;3706;20423;1144;272
21;52873;7482;2584;15861;2949;254
22;45862;5053;3125;13758;4055;425
23;38742;6259;3824;11622;4752;358
24;52228;9946;3395;15668;1115;246
25;56732;9580;2680;17019;3532;249
26;32540;8538;3111;9762;4763;349
27;62341;9965;2486;18702;3184;270
28;39584;7980;2442;11875;3584;183
29;66440;5624;3849;19932;4227;369
30;57872;9307;2984;17361;2702;355
31;61896;5097;2530;18568;4965;382
32;51308;6192;3235;15392;2460;108
33;35326;6468;2267;10597;2199;426
34;54612;9313;3908;16383;3261;132
35;67301;9654;2673;20190;2945;451
36;38450;5101;2309;11535;1236;113
37;37310;8530;2454;11193;2076;170
38;42275;9081;2742;12682;4559;418
39;36447;8535;3107;10934;3692;244
40;64309;6853;3679;19292;2148;231
41;48728;6976;3388;14618;4631;220
42;32272;6822;2539;9681;2844;470
43;37660;6521;3218;11298;4415;185
44;32242;8161;2937;9672;3242;109
45;63504;9542;2411;19051;1953;212
46;36087;7006;3940;10826;2562;346
47;30332;7459;2759;9099;4085;342
48;57688;5602;2759;17306;2877;159
49;57015;5661;2001;17104;4755;238
50;67484;6414;2848;20245;3896;403
51;36267;8835;3181;10880;3823;113
52;41477;7048;2418;12443;1536;131
53;69783;8520;3579;20934;4795;287
54;62814;7745;3247;18844;4061;291
55;40641;5394;2486;12192;2461;252
56;65918;7283;3015;19775;4598;147
57;50368;7530;3019;15110;2685;341
58;58485;9103;3079;17545;2143;267
59;32299;8111;3165;9689;2853;405
60;57554;9960;2326;17266;4993;112
61;64221;9146;2156;19266;4155;442
62;41951;5701;2596;12585;3241;403
63;47775;9621;2863;14332;3095;158
64;62515;5134;2650;18754;3887;207
65;38523;6919;3697;11556;4750;302
66;32249;7153;3492;9674;3418;171
67;59147;6190;2272;17744;1513;400
68;32115;7130;2571;9634;4453;119
69;58974;8927;3912;17692;4016;137
70;35557;9428;3642;10667;1066;252
71;60389;9130;3223;18116;1659;161
72;34093;9792;3004;10227;4885;278
73;33178;6016;3716;9953;2397;195
74;36310;7343;2436;10893;1756;439
75;42525;8125;3852;12757;2508;353
76;62264;7507;3168;18679;4043;185
77;63151;9791;3844;18945;3304;404
78;61154;6849;2606;18346;3372;172
79;37410;5117;2763;11223;3225;361
80;65142;5522;2341;19542;4484;166
81;52459;6912;3044;15737;2056;278
82;40166;9914;3027;12049;3898;485
83;43702;8668;3514;13110;1673;360
84;63605;7917;3264;19081;4792;377
85;58488;7001;2215;17546;3634;335
86;56730;5406;3389;17019;4877;495
87;44005;6532;3931;13201;3672;400
88;34854;6362;2033;10456;1085;334
89;65596;8034;2773;19678;4131;226
90;50499;6355;3837;15149;1886;210
91;41987;8114;2117;12596;2987;454
92;44910;7142;2795;13473;1348;355
93;39117;8660;2781;11735;4637;419
94;43047;9392;3043;12914;4526;488
95;46265;9944;3896;13879;3357;471
96;59507;7135;2647;17852;1703;350
97;56138;8163;2784;16841;4232;197
98;34720;9708;2806;10416;4846;291
99;49136;8632;3672;14740;4782;100
100;41998;7518;2971;12599;1982;117
101;42818;5070;3332;12845;3094;164
102;33966;8858;2315;10189;3029;333
103;56146;5399;2139;16843;1199;404
104;42877;5005;3399;12863;1678;197
105;54525;5082;2364;16357;4981;189
106;61654;9946;3811;18496;2595;123
107;44216;7942;2499;13264;3235;218
108;41640;9358;3592;12492;3325;121
109;52022;5740;2188;15606;1673;433
110;41492;7964;3053;12447;1207;488
111;62355;7447;2194;18706;1565;433
112;36705;6150;2224;11011;3251;492
113;32557;7251;2407;9767;3890;467
114;60377;6228;2301;18113;3367;309
115;38611;5604;3044;11583;1617;489
116;60904;5113;3159;18271;3257;479
117;68014;6559;2467;20404;1801;343
118;42556;9924;2007;12766;2087;251
119;34218;7163;2147;10265;2398;391
120;40795;8258;3111;12238;4936;368
121;36917;5026;3029;11075;4677;431
122;49887;6435;3114;14966;2028;439
123;30804;6101;2494;9241;1860;159
124;52073;8289;2705;15621;3313;217
125;47163;6059;3007;14148;2057;278
126;51360;8557;3096;15408;2406;371
127;69448;6125;3782;20834;4820;318
128;57243;7278;2061;17172;3850;472
129;36593;6499;3245;10977;4096;463
130;54081;7971;3788;16224;1811;458
131;32896;5249;3786;9868;1094;263
132;36454;5195;2412;10936;4529;201
133;59479;7162;2475;17843;3768;464
134;49168;9779;3783;14750;2849;296
135;47729;5077;2326;14318;4165;477
136;69806;6661;3830;20941;4520;391
137;47294;8923;3440;14188;1606;136
138;37765;5895;2727;11329;2592;414
139;39022;5205;2808;11706;4490;327
140;44008;5103;2387;13202;1745;432
141;34245;9984;2066;10273;2458;189
142;65300;9772;2257;19590;3412;391
143;67871;7515;2281;20361;2869;225
144;47930;8864;2508;14379;4937;367
145;48559;8748;3026;14567;3589;402
146;31345;6560;3509;9403;2832;333
147;69385;9117;3925;20815;2870;266
148;35486;7995;2747;10645;3550;433
149;65006;5996;3134;19501;3462;176
150;59399;8680;3277;17819;1825;170
151;56456;5840;2537;16936;1581;104
152;60041;5870;3820;18012;4589;490
153;59342;5278;2584;17802;1602;385
154;64509;8216;2905;19352;2542;264
155;47631;6483;3778;14289;4808;135
156;46274;9290;2393;13882;4457;358
157;60511;9652;2304;18153;4340;471
158;43322;8112;3079;12996;3787;332
159;68463;9167;2821;20538;1566;481
160;59578;7824;3676;17873;4994;380
161;58415;8530;3533;17524;2065;319
162;42997;5596;3220;12899;3049;484
163;60221;9056;3598;18066;1687;120
164;41455;8264;2163;12436;1532;451
165;62869;6067;3722;18860;1274;179
166;50261;6757;2837;15078;4150;337
167;52949;5762;2953;15884;1887;417
168;63981;6697;3382;19194;3528;316
169;59776;9188;3687;17932;1515;469
170;60416;7903;2593;18124;4922;195
171;48510;9519;2330;14553;3369;423
172;34783;7530;3283;10434;4006;139
173;56209;8363;3269;16862;3054;326
174;37418;9418;3082;11225;4936;291
175;30906;5448;3649;9271;1508;247
176;54374;8550;3258;16312;2242;452
177;41092;5437;3678;12327;1744;251
178;30219;5731;2251;9065;1035;436
179;33134;7159;2009;9940;4014;465
180;39446;9546;3544;11833;2677;171
181;32321;7894;3575;9696;1633;441
182;47185;9176;2631;14155;2761;154
183;32971;9713;3616;9891;1548;267
184;46038;5464;3578;13811;2807;494
185;33381;9297;2770;10014;3480;130
186;69935;6938;2143;20980;3302;463
187;64697;5080;3044;19409;4104;329
188;60768;8913;3058;18230;4074;482
189;38661;7910;3127;11598;4791;173
190;60138;8090;3281;18041;2250;100
191;67767;8220;3225;20330;4187;392
192;47570;8833;2109;14271;3599;163
193;66562;7404;3383;19968;4316;374
194;59619;8278;3358;17885;3087;470
195;35972;8048;3984;10791;4359;468
196;63567;5907;2000;19070;4125;272
197;31669;6040;3660;9500;1768;223
198;48429;8188;3244;14528;2907;403
199;38003;7721;3377;11400;4093;178
200;49796;8891;3298;14938;4895;476
201;40340;6580;2379;12102;3582;143
202;49489;9381;2798;14846;3656;478
203;61133;9412;2724;18339;2538;102
204;41252;7073;2857;12375;4206;150
205;50479;9802;3512;15143;3178;306
206;52304;8496;2601;15691;2625;258
207;48223;5890;2094;14466;4568;277
208;36020;6653;3537;10806;3494;224
209;45395;5141;2263;13618;1209;264
210;62311;5340;2160;18693;1262;428
211;47382;7264;3156;14214;1212;443
212;62258;5714;2543;18677;2157;343
213;66335;9670;3815;19900;1740;107
214;46405;7336;3117;13921;4289;194
215;50801;5532;3886;15240;2113;357
216;64006;7787;3452;19201;2946;136
217;46149;7015;3852;13844;2482;358
218;51001;8625;3180;15300;1857;437
219;57902;6793;3256;17370;2190;297
220;44726;6816;3118;13417;1867;312
221;39997;9391;3012;11999;3269;378
222;45469;5054;3516;13640;4665;202
223;33925;9966;2128;10177;2905;451
224;34371;5085;2584;10311;1726;105
225;51417;6168;3608;15425;2607;453
226;56584;7674;2678;16975;4903;483
227;62178;7129;2883;18653;3512;109
228;64569;5478;3424;19370;2118;115
229;48317;8260;2501;14495;1033;263
230;42987;9876;2098;12896;4511;211
231;54749;8489;2588;16424;2190;377
232;43524;8086;3048;13057;2539;116
233;33865;7188;2365;10159;1773;317
234;48840;8752;3984;14652;3584;156
235;67756;7379;3065;20326;3816;459
236;54465;9281;2370;16339;2142;180
237;31751;9560;3016;9525;3497;225
238;33431;7745;3125;10029;1934;202
239;40305;9210;2932;12091;2539;333
240;50011;5217;2217;15003;2580;105
241;49357;5856;3890;14807;1248;240
242;31115;9325;2275;9334;1545;398
243;42578;8211;2211;12773;2447;224
244;31617;7763;3150;9485;4939;331
245;62921;7798;3069;18876;1560;328
246;52884;5966;2219;15865;4567;347
247;56849;7608;3063;17054;4395;439
248;40620;5074;2196;12186;4989;342
249;69983;7579;3149;20994;3870;130
250;47678;7268;3577;14303;1813;120
251;69750;7083;2514;20925;1776;317
252;34463;9660;2688;10338;1821;114
253;33589;7232;2914;10076;1983;167
254;39367;5837;3856;11810;2596;245
255;45691;8171;2979;13707;4998;332
256;37400;9571;3910;11220;1954;377
257;53836;6069;3698;16150;3208;211
258;31127;8381;2515;9338;2858;168
259;55454;9409;2118;16636;3042;475
260;44085;5299;2062;13225;1768;120
261;55797;8884;2101;16739;3374;423
262;55891;6100;2184;16767;1335;116
263;58764;7089;2415;17629;2753;206
264;66372;6427;2231;19911;3534;222
265;36961;7733;2115;11088;2671;377
266;40106;5801;2900;12031;2940;255
267;47340;5523;3572;14202;3200;150
268;40523;8212;2503;12156;3297;404
269;32209;7702;3692;9662;4210;486
270;55240;6245;2453;16572;2497;101
271;32904;6705;2664;9871;1360;362
272;66755;8913;3475;20026;3830;383
273;45259;7691;3593;13577;3412;383
274;67111;6006;3323;20133;1569;210
275;39599;5227;2888;11879;3397;142
276;63000;5877;2498;18900;2863;450
277;42434;7197;3582;12730;3552;460
278;31933;7218;3807;9579;1742;236
279;53173;7121;2370;15951;4453;227
280;36149;9064;2118;10844;3221;212
281;55626;6952;2629;16687;4972;108
282;31287;6264;2297;9386;4766;435
283;39075;9776;2684;11722;1607;250
284;51446;9594;3634;15433;4453;198
285;53936;8490;2197;16180;4110;166
286;57877;9056;3514;17363;1653;135
287;48645;8849;2257;14593;4886;464
288;48713;5185;3439;14613;2419;228
289;42412;6137;3138;12723;4945;356
290;49659;5572;3305;14897;1664;318
291;67033;7432;3695;20109;1404;108
292;39842;8851;3515;11952;3482;275
293;65669;5914;3320;19700;3973;415
294;62580;6625;3271;18774;3357;337
295;46452;7211;3266;13935;4071;258
296;44596;9152;3716;13378;2202;243
297;67128;6534;2794;20138;1162;127
298;50180;9869;2856;15054;3356;246
299;66374;8481;3417;19912;1596;432
300;59807;9363;3213;17942;3225;292
301;69601;5805;2109;20880;1794;335
302;53760;5361;2419;16128;3415;177
303;47785;9544;3012;14335;1778;251
304;52529;6037;2256;15758;2736;471
305;64494;5943;2852;19348;2195;149
306;45512;6137;3863;13653;1473;473
307;38669;5392;2204;11600;3028;362
308;67050;8013;3835;20115;3302;389
309;51583;9441;2470;15474;1086;200
310;54161;8625;2248;16248;2230;452
311;49816;7830;3703;14944;4104;133
312;66656;9200;3799;19996;2310;498
313;42349;6339;3721;12704;2088;325
314;53652;8920;2356;16095;4976;147
315;67043;7267;2249;20112;4229;266
316;69627;7007;3923;20888;2822;205
317;30021;6042;2517;9006;3916;388
318;49341;6518;2749;14802;2663;195
319;45572;9946;3420;13671;2922;397
320;67107;6514;2786;20132;3916;193
321;42480;5691;3662;12744;3266;307
322;37891;9962;2763;11367;1095;439
323;62126;8372;2506;18637;4245;253
324;46098;9268;3310;13829;1739;460
325;62802;5816;3880;18840;3992;421
326;32817;7746;2616;9845;1952;433
327;59457;8723;2395;17837;2651;292
328;65239;5286;3901;19571;4319;302
329;55757;5290;2742;16727;1751;369
330;59907;8061;3605;17972;3358;135
331;63531;9177;3350;19059;3234;202
332;69935;9724;2558;20980;1117;404
333;31161;8013;2124;9348;2435;311
334;39199;6094;3774;11759;1045;445
335;56731;6721;3160;17019;4626;170
336;34188;5683;3520;10256;3148;175
337;43023;5098;3670;12906;2053;368
338;35271;6323;2776;10581;3166;279
339;60894;7591;2879;18268;3251;318
340;60410;6629;3118;18123;4418;110
341;40801;6350;3075;12240;2298;179
342;66924;6396;3537;20077;4014;249
343;32095;8370;2389;9628;3278;403
344;49812;8172;3838;14943;4981;218
345;64734;8609;3475;19420;4491;190
346;32547;6831;3684;9764;3975;429
347;39869;9789;3882;11960;2316;399
348;51058;8170;3749;15317;3856;182
349;69924;6105;2543;20977;4572;202
350;61230;7277;3780;18369;1616;423
351;42468;9008;3487;12740;4610;449
352;51567;8973;2623;15470;1227;328
353;47829;8034;2697;14348;2167;269
354;41605;5201;2183;12481;2929;467
355;36362;5361;3932;10908;1898;279
356;68789;8774;3767;20636;3252;288
357;58373;8782;2703;17511;4892;276
358;35807;8468;3018;10742;3972;468
359;62768;9641;2880;18830;4957;274
360;47004;8673;2557;14101;3726;199
361;45245;7039;3042;13573;1027;383
362;53087;9744;2749;15926;1438;248
363;62903;6865;3958;18870;4094;430
364;34157;5699;2117;10247;2498;340
365;38104;8057;3133;11431;4074;128
366;68693;5298;3203;20607;1065;333
367;55927;9236;3560;16778;2035;174
368;57981;5749;3901;17394;1981;185
369;40202;5037;3401;12060;3800;391
370;42158;7248;2911;12647;4849;419
371;48007;6780;2725;14402;3408;410
372;37087;8363;2954;11126;2190;184
373;69424;8347;2379;20827;2293;164
374;31300;7725;3908;9390;4052;112
375;38915;7399;2212;11674;4018;182
376;62424;7038;3196;18727;4929;152
377;42788;9161;2039;12836;4469;307
378;57271;6755;3942;17181;4659;483
379;51784;5995;3634;15535;3237;362
380;67629;5007;2435;20288;4063;497
381;45171;6427;2835;13551;2288;441
382;46440;8242;2074;13932;3827;325
383;65634;9044;3730;19690;3403;229
384;39716;5307;3209;11914;3321;261
385;48547;6655;2998;14564;2846;135
386;58336;8987;2374;17500;2979;360
387;52659;5470;2229;15797;2610;275
388;49898;8870;2663;14969;3583;345
389;39929;9543;3251;11978;1058;370
390;44056;9618;2001;13216;3080;219
391;65305;8622;3447;19591;1094;391
392;48418;7077;3649;14525;1932;168
393;66058;7466;2052;19817;1189;109
394;44989;8286;2813;13496;2063;360
395;60631;5893;2520;18189;2585;299
396;32969;6878;3682;9890;3229;288
397;63072;5166;2035;18921;1090;475
398;36429;9402;2525;10928;3851;310
399;51241;5564;3251;15372;4246;184
400;54791;7201;2491;16437;3343;252
401;42861;9445;2528;12858;2791;276
402;52126;9726;2984;15637;4991;341
403;46763;7096;3772;14028;1580;294
404;63998;6381;2674;19199;2474;453
405;36506;6593;3761;10951;4362;441
406;55347;9787;2764;16604;2728;311
407;37766;9075;2238;11329;3111;321
408;69902;8410;3533;20970;1874;475
409;65256;7940;3136;19576;4148;118
410;35290;5878;2264;10587;1179;104
411;57463;8088;2369;17238;4547;217
412;38547;5089;2377;11564;1214;336
413;41585;5133;3207;12475;1917;151
414;56488;8433;3508;16946;3971;404
415;49079;9582;3676;14723;2032;399
416;57464;5571;3958;17239;2708;258
417;48057;7694;2972;14417;2658;285
418;49136;7751;3539;14740;2308;235
419;30752;6452;3291;9225;1171;222
420;42046;8575;2741;12613;2923;359
421;32368;6663;3630;9710;3159;336
422;60837;6673;3976;18251;2767;470
423;36135;7735;2805;10840;1439;293
424;42948;8702;2391;12884;2008;222
425;50497;9299;3871;15149;1637;130
426;69406;8167;3627;20821;2380;397
427;38936;9385;2640;11680;3505;348
428;50114;9635;3256;15034;2527;378
429;40187;8080;3374;12056;3611;407
430;51715;7936;3632;15514;1023;374
431;50012;9465;2329;15003;2444;182
432;57173;6951;3333;17151;3182;477
433;68502;5577;3586;20550;4642;225
434;36869;7290;3408;11060;2437;245
435;37290;8447;2589;11187;4134;189
436;47491;9059;3165;14247;3474;303
437;34421;7257;3411;10326;1770;250
438;36131;6327;2728;10839;4557;368
439;60345;7230;3982;18103;3544;237
440;52868;8230;2822;15860;3166;456
441;59074;5065;3396;17722;2549;260
442;48946;8991;2083;14683;2714;296
443;61418;9623;3410;18425;1748;215
444;33799;6915;3467;10139;3388;195
445;64521;8689;2897;19356;1501;437
446;50764;5012;3021;15229;4072;341
447;35365;6387;2844;10609;1386;231
448;56141;5599;3188;16842;4947;160
