Serial Number,Course-Code-1,Course-Code-2,Course-Code-3,Course-Code-4,Course-Code-5,Course-Code-6
1,405,162,928,558,599,500
2,690,779,840,858,664,713
3,585,66,373,755,119,152
4,324,66,549,727,922,698
5,748,350,666,270,289,264
6,11,960,15,849,619,217
7,655,49,412,818,892,378
8,421,355,571,141,560,469
9,682,682,434,849,659,
10,269,57,498,180,171,874
11,111,194,166,350,409,670
12,596,138,315,513,633,288
13,,912,578,937,310,50
14,4,861,952,979,995,130
15,243,633,9,998,61,324
16,77,200,935,842,245,282
17,283,954,352,404,59,137
18,50,545,225,154,264,276
19,748,954,436,258,633,343
20,407,798,960,165,16,266
21,630,808,559,997,702,83
22,993,251,223,222,472,335
23,967,260,524,624,675,533
24,920,384,523,895,995,252
25,89,934,913,64,977,310
26,740,831,421,742,222,820
27,204,552,949,871,952,447
28,249,396,389,847,512,329
29,2,444,377,359,837,799
30,268,386,879,142,356,434
31,529,267,221,507,510,182
32,1,949,193,952,562,24
33,750,500,573,431,503,749
34,481,684,899,335,783,719
35,382,658,254,452,332,320
36,330,788,859,600,235,545
37,239,218,277,403,206,674
38,653,597,447,132,623,448
39,244,30,27,660,750,792
40,239,636,320,614,187,481
41,757,672,571,702,389,665
42,438,414,842,445,567,574
43,441,883,431,332,141,495
44,286,851,974,885,813,761
45,301,659,739,142,430,942
46,146,324,412,107,912,767
47,576,496,606,61,175,483
48,760,501,713,730,836,5
49,14,452,155,934,669,526
50,413,263,470,607,156,522
51,855,342,652,135,38,361
52,264,538,662,724,991,580
53,432,853,636,48,121,893
54,74,239,295,664,68,619
55,886,823,481,305,338,8
56,653,122,75,464,791,952
57,326,526,569,460,541,790
58,475,49,154,607,312,914
59,912,392,240,506,606,942
60,154,405,554,367,662,178
61,57,672,177,427,737,833
62,727,478,354,193,804,71
63,699,875,391,277,974,729
64,788,763,916,178,184,882
65,714,508,847,453,330,382
66,912,595,576,188,923,191
67,361,105,638,93,867,387
68,789,687,853,357,708,61
69,319,8,811,323,312,620
70,799,869,854,581,556,609
71,314,595,485,91,110,737
72,910,15,805,59,166,513
73,586,434,575,724,354,864
74,834,71,664,315,862,77
75,967,873,96,466,254,492
76,399,900,7,105,359,666
77,372,757,535,29,236,298
78,875,908,214,151,894,499
79,163,231,456,873,629,749
80,112,553,430,696,755,562
81,833,367,793,654,191,605
82,27,157,743,536,244,905
83,453,220,663,12,311,340
84,210,186,254,735,107,502
85,33,955,410,336,520,31
86,752,589,913,775,39,205
87,927,820,140,463,86,882
88,350,258,879,61,403,233
89,610,83,173,389,82,637
90,47,139,899,698,488,540
91,536,632,802,607,75,464
92,125,561,632,498,199,459
93,243,176,232,848,309,728
94,820,55,915,504,345,530
95,524,477,733,109,984,240
96,388,420,845,437,803,556
97,521,523,250,114,268,959
98,569,633,409,735,813,544
99,408,531,104,918,762,403
100,114,581,212,584,279,241
