Serial Number,Course-Code-1,Course-Code-2,Course-Code-3,Course-Code-4,Course-Code-5,Course-Code-6
1,743,57,365,791,943,709
2,535,715,762,477,905,890
3,773,834,423,307,944,508
4,226,858,57,589,643,934
5,932,264,766,288,783,614
6,437,366,396,193,796,408
7,494,462,478,469,98,649
8,692,672,76,787,708,591
9,22,303,133,803,453,223
10,736,475,349,590,81,191
11,341,576,304,60,609,815
12,785,477,472,97,96,376
13,251,421,151,232,72,388
14,125,898,608,403,944,424
15,794,156,292,787,403,687
16,324,949,737,875,779,4
17,376,780,420,768,693,503
18,389,338,930,123,351,117
19,862,979,319,969,199,688
20,742,245,553,680,256,998
21,914,183,55,328,768,555
22,596,109,579,780,569,355
23,731,570,42,270,118,521
24,560,802,332,98,910,133
25,895,166,926,374,55,430
26,330,153,53,868,324,992
27,11,585,935,487,581,665
28,957,39,728,189,741,994
29,89,200,261,567,581,655
30,555,557,904,372,501,547
31,198,545,986,53,480,425
32,866,972,333,318,853,561
33,767,207,552,717,614,447
34,230,168,922,724,642,298
35,227,772,415,346,68,702
36,963,428,351,566,571,307
37,263,443,447,383,974,491
38,274,348,750,723,784,632
39,474,563,534,265,440,338
40,630,683,100,794,71,326
41,364,814,269,184,609,837
42,124,265,378,503,782,785
43,450,392,851,497,44,758
44,154,296,980,846,307,940
45,681,898,291,662,873,705
46,506,931,482,616,918,797
47,286,331,843,352,270,67
48,66,602,243,944,899,266
49,581,290,170,403,718,231
50,86,246,314,945,1,897
51,387,815,724,537,169,516
52,802,450,508,421,133,242
53,76,609,9,635,926,205
54,8,186,77,961,451,90
55,870,667,64,164,990,694
56,978,447,105,425,830,17
57,405,640,411,908,440,535
58,661,808,238,9,826,622
59,352,450,50,428,993,334
60,157,279,421,691,454,654
61,180,277,132,240,895,755
62,606,879,102,206,834,895
63,669,595,571,258,335,733
64,28,315,67,588,708,999
65,478,6,848,50,688,286
66,889,547,458,684,632,386
67,779,241,75,704,442,681
68,770,29,746,319,411,502
69,406,602,149,980,782,434
70,728,662,867,338,160,380
71,711,990,868,568,521,56
72,172,128,576,185,726,756
73,753,755,259,653,786,559
74,737,24,807,362,87,235
75,39,271,800,415,456,381
76,217,887,845,294,544,796
77,569,197,938,400,762,967
78,951,192,505,608,947,555
79,339,81,476,363,419,687
80,938,428,597,339,745,620
81,581,230,70,329,569,106
82,274,950,928,48,976,371
83,613,105,880,123,355,793
84,634,102,674,611,591,64
85,174,917,781,569,795,190
86,10,613,210,838,793,275
87,499,951,768,678,697,405
88,278,321,687,867,483,943
89,752,821,37,380,709,357
90,135,921,199,333,257,664
91,790,251,306,635,57,393
92,946,745,231,400,269,343
93,926,948,203,758,257,445
94,836,767,260,723,592,768
95,265,613,5,71,448,231
96,425,184,969,716,102,807
97,961,326,25,523,116,670
98,570,182,69,679,532,363
99,952,248,826,130,394,647
100,533,699,721,817,44,875
