Sr.No,ShelfLife,Cost,Capacity
1,15,147,8
2,68,466,4
3,21,87,3
4,13,86,7
5,86,450,3
6,19,263,8
7,34,418,6
8,78,267,5
9,68,329,4
10,52,300,8
11,27,272,8
12,29,94,1
13,28,155,9
14,35,332,5
15,8,51,4
16,16,383,6
17,36,134,6
18,30,176,2
19,18,434,8
20,2,250,7
21,49,468,1
22,77,496,5
23,4,289,6
24,90,197,4
25,89,311,2
26,94,28,4
27,75,77,1
28,7,227,7
29,95,111,2
30,74,51,2
31,39,297,9
32,13,176,5
33,31,118,2
34,71,45,9
35,63,241,9
36,56,238,1
37,42,362,3
38,61,173,4
39,42,396,7
40,56,82,10
41,36,145,4
42,84,362,2
43,68,388,7
44,7,79,6
45,54,434,3
46,1,496,6
47,44,205,6
48,45,278,5
49,47,58,4
50,13,325,10
51,22,139,1
52,21,453,10
53,86,14,6
54,92,437,2
55,9,36,3
56,26,169,8
57,9,158,10
58,15,273,6
59,10,239,3
60,88,209,7
61,42,59,4
62,72,76,9
63,24,309,5
64,80,390,3
65,49,67,2
66,26,268,2
67,91,351,3
68,37,335,2
69,68,139,4
70,50,224,2
71,24,181,10
72,19,267,9
73,100,111,2
74,60,218,9
75,39,300,6
76,74,363,1
77,89,480,4
78,18,295,1
79,19,125,6
80,36,273,4
81,74,159,3
82,97,309,3
83,55,451,9
84,69,45,6
85,47,462,9
86,49,342,5
87,99,486,2
88,98,296,8
89,33,312,5
90,21,320,2
91,81,217,4
92,22,115,9
93,48,455,4
94,37,167,4
95,15,130,2
96,35,64,6
97,92,409,2
98,71,21,7
99,32,154,3
100,11,409,3
