String 1: LL XX YY ZZ WW VV 12 34 56 78 90 KK JJ PP PD DA DB NP OK WA TY WO WI EZ UI QQ FG CO DB O2 H2 O2 GO AT PL AY ma sk th ka
String 2: FF DD FF DD AB AA BC BC CD CD BC CD CC FF CD FF CC BC BC BC DD BC FF CC BC AB AB AA FF CD FF CD AB BC AA CD BC BB BB CD
String 3: DD BC BC FF BC BC AB BB CD AA AB BB FF BB BC BB AA BB FF BC BB AB CC CC DD BB CC CD CD AB BB AB CD FF CD AA DD BB DD AA
String 4: BB BB BC CD AB DD CC CC BB AB CC AB AB AB AB FF BB AA DD AB FF CD DD BB BC FF BC BB DD FF BB AB BC CC BC CD BC BC AA AA
String 5: AA CD AA BC AB CC CD CC AA AB BC FF AA FF CD FF CD DD DD AB FF BB FF CD AB AA BC BC BC BC AA CD DD AB FF DD AA DD AA FF
String 6: BC AB AB FF AB AB DD DD FF BB BC BB AB BC DD FF AB CC BC AB AB CD DD AB AB CD FF FF BC DD AB AA AA DD BC AB BB BB BC CD
String 7: CD AA DD CC DD CD DD AA DD AB CC BB AA BB AB FF AA AB AB CD AB CD CD DD AA BC CD BC AB BB BB BB CD BB AA AB AB DD DD CD
String 8: AA FF CD DD BB CD CC AB AA AB AB DD BB AB BC CC DD AB DD BB BB AA DD AA AB AA CC DD CD FF AB CC CD DD AB CC BC BC AA AB
String 9: BB BC CD AB BB FF CC AA BC CC AB BC CC FF AA AB CC DD BC DD BC BC BC FF DD AA DD AB DD BB AA AB AA CC AB BC DD BB AA FF
String 10: BB BB AB FF DD CD AA DD CD CC BB BB BB AB BC AA CC CC FF BB FF AB FF BB AB CC BC AA AB CD BC CC CD BC CC FF FF CC CC CC
String 11: AA CD CC AA AA CC BB BC AA DD BC CC AA FF BC CC CD BB BB CC BC CC BC AB DD AB AB AB AA FF CD CD BB BB CD CD BB CC FF DD
String 12: CD BC AB CC BB BC CC BB BC BB BB CD AA AB CC BB BB AB AA AA BB FF BB CD BC FF BB FF BB BB FF BC BB BB AB AA BB BB AB CD
String 13: CD BC BB CD FF FF AB BB BC CD CC DD BC CC DD CD BC DD AB CC BC FF BB AA AB FF CC CD AA BC BC AA FF BC FF CC BC FF AB AA
String 14: DD BB BB DD BC BC BC AA FF AB AB BB FF AA AA BB CD BB BB AA AA DD BC AB CD DD BC DD AA CC AB AA BC FF FF BB BB CD CD DD
String 15: DD AA AB AB AA FF CD BB CC BB BC AA CD CC BC BB CC CD DD AA BB BB CC AB AA DD AA CD AB FF DD DD FF BB FF AA CD BC CC AB
String 16: AA AB AA AB CC AA AA CC CD BB CD AA BB BB AA CC BB CD CC BC FF FF AA DD AB AA BC CD DD CD AB AB BC CD FF AA AA BC AB DD
String 17: DD CD CD AB CC CD AA CC AA CC CD BC BB AB BC BB BC DD BC CD AA AB AA AB AB AA AA DD BB AB CC CC CD CC BB BC AB AA CD FF
String 18: AA AA AA BB BC CD BB CC BB FF CC CC AB AB AA CD BB AB AA BC CC BC AB BC FF DD BB BB CD CD CD DD AB BC BC FF AA AA CC AA
String 19: CC AA BC AB FF CC CD CD BC AA CC CD AB BC AB AB CD FF AB FF CD BC AA AA AA AA CC CC AB BB DD CD BC AA CD BC CC CC AA BC
String 20: AB BC DD DD AA AB AA CC BB FF AB DD CD BB CD CC AB CD BB AB AB CC FF FF AA AA FF AA CC BB AB CD CD DD BB AB CC CD AB CD
